group-left(174.58729553222656, 189.018310546875) ;
group-(222.51834106445312, 191.0409698486328) ;
group-(97.94786071777344, 293.5096435546875) ;
group-(136.02041625976562, 165.56121826171875) ;
group-(127.3831787109375, 238.02471923828125) ;
group-(188.47909545898438, 200.4645233154297) ;
group-(91.14034271240234, 271.3265075683594) ;
group-(108.73320007324219, 226.3571014404297) ;
group-left(56.526611328125, 108.41963958740234) ;
group-(31.764799118041992, 187.7302703857422) ;
group-(78.6323013305664, 194.3856658935547) ;
group-(119.47457122802734, 128.39466857910156) ;
group-left(122.98609924316406, 144.86940002441406) ;
group-(124.0041275024414, 165.5688934326172) ;
group-(121.81926727294922, 214.05865478515625) ;
group-(108.26123809814453, 210.61558532714844) ;
group-(95.32157897949219, 215.2615509033203) ;
group-(88.43522644042969, 199.7185516357422) ;
group-(74.12702941894531, 209.08363342285156) ;
group-left(70.15757751464844, 208.8240966796875) ;
group-(59.72605514526367, 219.8780517578125) ;
group-(48.42280960083008, 204.54922485351562) ;
group-lost(32.39009094238281, 205.13499450683594) ;
group-(41.15839385986328, 221.3806915283203) ;
group-(17.58917236328125, 234.2909393310547) ;
group-(18.163908004760742, 200.53244018554688) ;
group-(22.480655670166016, 218.50071716308594) ;
group-(51.90461730957031, 234.00843811035156) ;
group-(67.5600357055664, 239.288818359375) ;
group-(76.9665756225586, 247.0410919189453) ;
group-(87.6176986694336, 251.6495361328125) ;
group-(81.55097198486328, 244.01625061035156) ;
group-left(76.4646987915039, 235.6548614501953) ;
group-lost(52.231266021728516, 227.5428466796875) ;
group-(70.39366912841797, 235.50704956054688) ;
group-(93.91810607910156, 228.31561279296875) ;
group-(135.51263427734375, 227.4147186279297) ;
group-(190.77853393554688, 217.82318115234375) ;
group-(501.70196533203125, 210.7523651123047) ;
group-(389.7953796386719, 213.38345336914062) ;
group-left(372.380859375, 204.8807830810547) ;
group-(361.6573181152344, 219.33782958984375) ;
group-(339.0457763671875, 211.2998809814453) ;
group-(279.1732177734375, 214.94261169433594) ;
group-(259.8749084472656, 208.97242736816406) ;
group-(243.58543395996094, 215.35296630859375) ;
group-(223.5293426513672, 209.01255798339844) ;
group-(229.4816131591797, 225.6940460205078) ;
group-(210.67588806152344, 221.34408569335938) ;
group-left(197.77102661132812, 233.78005981445312) ;
group-(178.7004852294922, 230.71600341796875) ;
group-left(154.46864318847656, 213.5338592529297) ;
group-(148.29898071289062, 229.02645874023438) ;
group-(160.1265869140625, 238.41876220703125) ;
group-left(173.38954162597656, 247.036376953125) ;
group-(201.33192443847656, 251.01934814453125) ;
group-(222.85867309570312, 242.43130493164062)
