group-left(267.8998107910156, 209.8434295654297);
group-(428.2642517089844, 293.5216979980469);
group-(398.4158935546875, 288.8973083496094);
group-(425.8628234863281, 344.6723937988281);
group-(385.7737121582031, 282.01995849609375);
group-left(441.49237060546875, 279.0479431152344);
group-(464.8121032714844, 151.8888702392578);
group-lost(377.063720703125, 116.00272369384766);
group-(285.5994567871094, 210.613037109375);
group-(453.4549255371094, 87.94390869140625);
group-(426.9429016113281, 327.8526306152344);
group-(448.3483581542969, 166.68850708007812);
group-(431.16693115234375, 99.71458435058594);
group-(402.7542419433594, 112.34940338134766);
group-(467.59783935546875, 182.24240112304688);
group-(434.316650390625, 196.20431518554688);
group-(400.2011413574219, 300.7812805175781);
group-(438.37908935546875, 127.18470001220703);
group-(420.0986022949219, 84.98577880859375);
group-lost(354.0273132324219, 216.656982421875);
group-left(342.70330810546875, 230.55873107910156);
group-(406.7996520996094, 224.93728637695312);
group-(465.346435546875, 115.40463256835938);
group-(407.7068176269531, 255.0122833251953);
group-left(383.0635986328125, 145.03529357910156);
group-(380.9201965332031, 256.7148132324219);
group-left(473.4858703613281, 293.03204345703125);
group-(462.5435791015625, 233.84249877929688);
group-lost(397.46502685546875, 221.65733337402344);
group-(367.6323547363281, 194.44480895996094);
group-(414.10302734375, 100.67314910888672);
group-lost(367.3402404785156, 249.97409057617188);
group-(461.3135681152344, 216.0305633544922);
group-(454.2643737792969, 176.69839477539062);
group-left(379.67230224609375, 236.92535400390625);
group-lost(412.31109619140625, 70.32483673095703);
group-(447.95855712890625, 202.29425048828125);
group-(338.2121276855469, 247.9918670654297);
group-(387.8636474609375, 243.89385986328125);
group-(392.81854248046875, 206.1112823486328);
group-(440.8865051269531, 187.67539978027344);
group-left(408.0533447265625, 183.13002014160156);
group-left(385.9903869628906, 170.20156860351562);
group-lost(250.94540405273438, 203.92208862304688);
group-(368.70367431640625, 223.16073608398438);
group-(407.3791198730469, 159.34803771972656);
group-left(428.4460754394531, 309.943359375);
group-(351.5610656738281, 186.3186492919922);
group-(404.6169738769531, 241.0342254638672);
group-(421.4010009765625, 119.03083038330078);
group-(384.8880615234375, 215.39492797851562);
group-(449.4849853515625, 229.71852111816406);
group-left(444.3180236816406, 250.9290313720703);
group-(423.4787292480469, 216.08547973632812);
group-left(479.3560791015625, 143.15481567382812);
group-(438.4145202636719, 216.62489318847656);
group-(392.5948181152344, 188.1760711669922);
group-(355.09735107421875, 275.5970764160156);
group-(410.9383850097656, 289.9715576171875);
group-(407.0087890625, 211.71714782714844);
group-(447.3772888183594, 150.17037963867188);
group-(360.1104431152344, 158.05157470703125);
group-lost(422.34136962890625, 56.50367736816406);
group-lost(403.73834228515625, 57.94987487792969);
group-(394.9278564453125, 71.83306884765625);
group-(383.91131591796875, 84.6587905883789);
group-left(375.09698486328125, 98.11495208740234);
group-lost(284.6660461425781, 158.00979614257812);
group-(241.3211212158203, 189.0911407470703);
group-(33.95619583129883, 213.35690307617188);
group-(59.415531158447266, 210.73550415039062);
group-lost(153.1060791015625, 205.02745056152344);
group-left(193.5040283203125, 204.3374786376953);
group-(254.25424194335938, 221.8675079345703);
group-(313.5588073730469, 242.49720764160156);
group-(350.3355407714844, 258.65875244140625);
group-(378.7907409667969, 274.2086486816406);
group-(401.91497802734375, 271.4909362792969);
group-left(426.9161376953125, 277.2106628417969);
group-(410.28826904296875, 272.29693603515625);
group-left(393.9640808105469, 264.642578125);
group-(426.64263916015625, 266.60980224609375);
group-lost(436.9561767578125, 265.3244323730469);
group-lost(460.3545227050781, 259.604248046875);
group-(466.60064697265625, 248.60377502441406);
group-left(472.46978759765625, 240.7085418701172);
group-(475.12884521484375, 226.55809020996094);
group-(480.55303955078125, 213.21678161621094);
group-left(477.5052185058594, 196.642578125);
group-(305.0437927246094, 145.20338439941406);
group-(287.3287353515625, 192.6963653564453);
group-(268.4676208496094, 192.00624084472656);
group-lost(219.52145385742188, 221.6173553466797);
group-(407.8750305175781, 242.6636962890625);
group-(417.4588317871094, 239.2957763671875);
group-left(433.78997802734375, 242.67709350585938);
group-lost(482.6228942871094, 253.03341674804688);
group-lost(422.0175476074219, 253.85658264160156)
